param,scenario,simulation,peak_coeff,name,n_groups,size,intro_n,r0,delta,est,lower_ci,upper_ci,bias,is_within_ci,significant_delta,significant_est,successes,trials
Delta,"BASE - Delta: 10, 1/10 ",5,0.8,A,2,50,1,2,0.818181818181818,0.714285714285714,-0.15744639408639,0.992779406276199,0.103896103896104,TRUE,TRUE,FALSE,6,7
Delta,"BASE - Delta: 10, 1/10 ",5,0.8,B,2,50,1,2,-0.818181818181818,-1,-1,0.0436475002099628,0.181818181818182,TRUE,TRUE,FALSE,0,5
Delta,"BASE - Delta: 10, 1/10 ",5,0.9,A,2,50,1,2,0.818181818181818,0.454545454545455,-0.219485119144842,0.879564531654187,0.363636363636364,TRUE,TRUE,FALSE,8,11
Delta,"BASE - Delta: 10, 1/10 ",5,0.9,B,2,50,1,2,-0.818181818181818,-1,-1,0.0436475002099628,0.181818181818182,TRUE,TRUE,FALSE,0,5
Delta,"BASE - Delta: 10, 1/10 ",5,1,A,2,50,1,2,0.818181818181818,0.625,0.0870869075367766,0.919052532188108,0.193181818181818,TRUE,TRUE,TRUE,13,16
Delta,"BASE - Delta: 10, 1/10 ",5,1,B,2,50,1,2,-0.818181818181818,-1,-1,0.0436475002099628,0.181818181818182,TRUE,TRUE,FALSE,0,5
Delta,"BASE - Delta: 10, 1/10 ",6,0.7,A,2,50,1,2,0.818181818181818,0.333333333333333,-0.554443808992976,0.913456263414517,0.484848484848485,TRUE,TRUE,FALSE,4,6
Delta,"BASE - Delta: 10, 1/10 ",6,0.7,B,2,50,1,2,-0.818181818181818,-1,-1,0.683772233983162,0.181818181818182,TRUE,TRUE,FALSE,0,2
Delta,"BASE - Delta: 10, 1/10 ",6,0.8,A,2,50,1,2,0.818181818181818,0.5,-0.301711588825648,0.936291947500111,0.318181818181818,TRUE,TRUE,FALSE,6,8
Delta,"BASE - Delta: 10, 1/10 ",6,0.8,B,2,50,1,2,-0.818181818181818,-1,-1,-0.0814837471201992,0.181818181818182,TRUE,TRUE,TRUE,0,6
Delta,"BASE - Delta: 10, 1/10 ",6,0.9,A,2,50,1,2,0.818181818181818,0.555555555555556,-0.200187147432624,0.943710053044203,0.262626262626263,TRUE,TRUE,FALSE,7,9
Delta,"BASE - Delta: 10, 1/10 ",6,0.9,B,2,50,1,2,-0.818181818181818,-1,-1,-0.0814837471201992,0.181818181818182,TRUE,TRUE,TRUE,0,6
Delta,"BASE - Delta: 10, 1/10 ",6,1,A,2,50,1,2,0.818181818181818,0.666666666666667,0.0317245026280659,0.958274949079815,0.151515151515152,TRUE,TRUE,TRUE,10,12
